Authors,Title,Year,Volume,DOI,Abstract,Author Keywords,Document Type
"Qian, H.; Li, K.; Xu, Q.; Qi, S.; Ni, Y.; Li, F.",Topology Optimization of Large-Scale Offshore Wind Power Collection System Based on Graph Genetic DMST,2024,12,10.1109/ACCESS.2024.3478339,"This paper proposes a graph genetic dynamic minimum spanning tree (DMST) optimization method for the layout designing of large-scale offshore wind farm collector system to minimize total lifecycle cost, considering both current carrying capacity and cable crossing avoiding (CCA) constraints. In this method, DMST is used to generate an initial feasible solution, ensuring a high-quality and reasonable solution at the first. Then Graph Genetic Algorithm (GGA) is applied to optimize these feasible solutions. A partitioning approach is employed to effectively reduce the complexity of the problem. This method can quickly find solutions with low total lifecycle costs while ensuring the feasibility and quality of the solution. Meanwhile, the proposed method is compared with DMST and particle swarm optimization (PSO) based algorithm, and its effectiveness and efficiency are validated through case studies of offshore wind farm projects, especially for large-scale wind farms. © 2024 The Authors.",cable crossing avoiding; dynamic minimum spanning tree; graph genetic algorithm; Offshore wind power collection; topology optimization,Article
"MacHado, M.O.; Fernandes, I.F.D.C.; Maia, S.M.D.M.; Goldbarg, E.F.G.",A hybrid multi-agent metaheuristic for the offshore wind farm cable routing problem,2024,255,10.1016/j.eswa.2024.124668,"A crucial task concerning offshore wind farm designs is connecting previously placed turbines to a substation, such that the total cable cost is minimal. An NP-hard optimization problem named Wind Farm Cable Routing Problem (WFCRP) models this task. Previous studies have proposed Mixed Integer Linear Programming formulations (MILP) and metaheuristics for the WFCRP. However, they faced difficulties in solving instances with many turbines. Hybridization is a widely-explored approach that has produced better solutions as it combines the best features of individual algorithms. This paper proposes a hybrid algorithm for the WFCRP that combines four state-of-the-art metaheuristics and a MILP formulation. The hybridization technique uses multi-agent and Particle Swarm Optimization concepts, where particles are cooperative agents that work together to find high-quality solutions. Experimental results on instances with up to 120 turbines show that the proposed hybrid algorithm outperforms the best algorithm from the WFCRP literature. © 2024 Elsevier Ltd",Cable routing problem; Mathematical programming; Metaheuristics; Multi-agent hybridization; Wind farm optimization,Article
"Konatham, R.S.; Chele, R.; Voruganti, H.K.; Gautam, S.S.",Multi-objective shape optimization of fin using IGA and NSGA-II,2024,46,10.1007/s40430-024-05230-0,"Fins are extensively used in combustion chambers, electronic devices, heat exchangers, etc., to improve the heat transfer between a solid surface and the surrounding. There are two ways in which heat can transfer from a fin to its surroundings: conduction and convection. The cross-sectional area of the fin and the temperature gradient determine how much heat is transferred by conduction. Convection heat transfer is influenced by the surface area of the fin and temperature differentials. The performance of fin can be measured by multiple criteria such as efficiency, heat transfer, and effectiveness. Among these, efficiency and heat transfer are more important criteria for fin performance. The fin can have different shapes with respect to chosen criteria. The present study numerically investigates how the shape of the one-dimensional (1D) fin affects heat transfer and efficiency. Multi-objective optimization technique is chosen for getting optimum shape which satisfies both max heat transfer and efficiency. Traditional finite element method (FEM) requires a large number of nodes, to accurately represent the shape of the fin, and this increases the computational time. Isogeometric analysis (IGA), which overcomes this drawback of FEA methods, is used in the present work to solve the fin problem because it can accurately capture the geometry with fewer control points, thereby reducing the computational time. Moreover, another advantage of IGA is that the design, analysis, and optimization models are all consistently defined by NURBS, allowing for easy interaction between the three models and resulting in a smooth boundary. In the present work, a fast and elitist non-dominated sorting genetic algorithm (NSGA-II) is used to determine a set of multiple optimum solutions. Two types of fins are considered: a conical fin and a variable cross-section rectangular fin. The results of the conical fin are reported and compared with the previous literature, and they are found to be in good agreement. The optimization of a variable rectangular fin profile resulted in four distinct Pareto-optimal solutions, balancing maximum efficiency and heat transfer. The Pareto set includes a maximum heat transfer of 22.498 for Shape A and a maximum efficiency of 71% for Shape D. © The Author(s), under exclusive licence to The Brazilian Society of Mechanical Sciences and Engineering 2024.",1D heat transfer; Conical fin heat transfer rate; Fin efficiency; Isogeometric analysis; NSGA-II; NURBS; Optimization; Rectangular fins,Article
"Qureshi, T.A.; Warudkar, V.",Wind farm layout optimization through optimal wind turbine placement using a hybrid particle swarm optimization and genetic algorithm,2023,30,10.1007/s11356-023-27849-7,"The placement and configuration of wind turbines (WTs) are the key factors in determining the performance and energy output of a wind farm (WF). This involves considering various elements such as wind speed, wind direction, and the interspacing between turbines in the design process. To achieve an optimized and consistent wind farm layout optimization (WFLO) for maximum output power, a novel hybrid algorithm hybrid particle swarm optimization and genetic algorithm (HPSOGA), combining particle swarm optimization (PSO) and genetic algorithm (GA), is proposed. HPSOGA can effectively handle problems with multiple local optima, as PSO explores multiple regions and GA refines solutions found by PSO. The framework has two phases, where PSO improves initial parameters in the first phase, and parameters are adjusted in the second phase for improved fitness. The wake effect is analyzed using the Jenson-Wake model, and the objective function considers the total cost of WTs and the power output of the WF. The interspacing of WTs is evaluated by the rule of thumb. HPSOGA outperforms other methods such as GA, BPSO-TVAC, L-SHADE, BRCGA, and EO-PS, producing better results in terms of total output power generation. The simulation results validate the reliability of HPSOGA in WFLO. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Genetic algorithm; Particle swarm optimization; Wind farm; Wind farm layout optimization; Wind turbine,Article
"Tan, H.; Li, H.; Xiang, X.; Zhang, X.; Yao, R.; Zhou, Z.; Zheng, J.",Characterization of static voltage stability region of offshore wind farms considering submarine cable capacitance parameters and converter saturation,2023,150,10.1016/j.ijepes.2023.109095,"Accurately characterizing the static voltage stability region (SVSR) is the key to ensure the safe and stable operation of offshore wind farms (OWFs). However, the traditional SVSR evaluation methods ignore the influence of capacitance parameters, and the stability criteria fail after d-axis current saturation, leading to a large deviation in the evaluation results. Therefore, this paper proposes an improved method to characterize the SVSR of OWFs, which takes the cable capacitance parameters and the saturation effect of the converter into account. Firstly, based on the equivalent circuit method, the power common connection (PCC) voltage charact- erization model considering cable capacitance parameters was derived. Then, the DC voltage stability was defined to describe the static voltage instability caused by the current limiting of the converter. The SVSR constraints are summarized into three categories: power flow stability, DC voltage stability and dq-axis stability, and stability criteria are designed according to different stability. Based on the method of intersection of multiple stability regions and Z-plane projection, the SVSR is characterized. Finally, the influence of different parameter settings on the SVSR is analyzed, and the accuracy of the proposed method is verified by RT-Lab experimental platform. © 2023 Elsevier Ltd",Cable capacitance; Converter saturation; Offshore wind farm; Stability criteria; Static voltage stability region,Article
"Shen, X.; Wu, Q.; Zhang, H.; Wang, L.",Optimal Planning for Electrical Collector System of Offshore Wind Farm With Double-Sided Ring Topology,2023,14,10.1109/TSTE.2023.3241357,"We propose a planning method for offshore wind farm electrical collector system (OWF-ECS) with double-sided ring topology meeting the 'N-1' criterion on cable faults, in which the submarine cables layout of OWF is optimized considering cable length and power losses. The proposed mixed-integer quadratic programming (MIQP) model is based on the Capacitated Vehicle Routing Problem (CVRP) formulation and power network expansion planning, which could approximate the power losses in OWF-ECS. In addition, cross-avoidance constraints are proposed to avoid crossing cables, and the minimum k-degree center tree model is included to improve the convergence. Case studies on OWFs with 30 and 62 WTs demonstrate the effectiveness of the proposed method. Considering the potential outage cost in the radial topology, the total cost of the planning result is reduced by up to 25.9% with reliability improvement. The cable investment is reduced by 4%∼8% with the proposed method compared with conventional heuristic methods and Google OR-tools. The proposed method/model can also achieve acceptable computation efficiency and OWF-ECS planning results with good optimality. Moreover, it could be solved by modern commercial solvers/optimization software, thus it's easy to use even for large-scale OWF. © 2010-2012 IEEE.",Electrical collector system; mixed integer programming; N-1 criterion; offshore wind farm,Article
"Ye, J.; Zhou, G.; Zhang, L.; Yang, L.; Zhai, X.; Cai, J.",Path Optimization of Submarine Cables for Offshore Wind Farm Considering Feeder Crossing Avoidance; 考虑馈线交叉规避的海上风电场海缆路径优化,2023,56,10.11930/j.issn.1004-9649.202201026,"The topology optimization of power collection in offshore wind farms is a large-scale non-convex and nonlinear optimization problem, for which it is difficult to obtain the optimal solution. It is therefore divided into two parts: internal topology optimization and feeder path optimization. Inside the partition, the optimal topology mode is obtained by taking economy as the objective function with consideration of submarine cable selection. In the feeder part, aiming at the submarine cable crossing problem, a partition regularization scheme is proposed with consideration of the actual construction engineering constraints of the wind turbines. By using the improved Dijkstra algorithm, the transition from the traditional line-line intersection judgment to the line-surface intersection judgment is realized, and the situation that the crossover experiment cannot judge the submarine cable crossing is avoided. Finally, a case study of two offshore wind farms is studied and the proposed algorithm is compared with other topological results, which has proved the feasibility and superiority of the proposed algorithm. © Automation of Electric Power Systems Press. All Rights Reserved.",collection system; feeder; improved Dijkstra algorithm; large-scale offshore wind farm; topology optimization,Article
"Peréz-Rúa, J.-A.",Solver-free heuristics to retrieve feasible points for offshore wind farm collection system,2023,55,10.1080/0305215X.2022.2108027,"A set of solver-free heuristics for the offshore wind collection system problem is presented. Currently, algorithms of this type are not able to cope with relevant constraints when explicitly minimizing for investment cost. The first algorithm is a two-step decision process of which the output is a tree network satisfying cable thermal limits, but vulnerable to violate planarity constraints. A cable crossings repair heuristic is then introduced in order to fix infeasible points from the first heuristic. Finally, the negative cycle cancelling refining heuristic takes over to improve feasible points. The latter iteratively swaps connections, intending to find cycles with negative costs to reduce investment expenditure. The applicability of the workflow is empirically demonstrated through a set of large-scale real-world offshore farms. Results indicate that: (i) feasible points can be retrieved in a computing time of seconds; and (ii) warm starting can help global optimization solvers to converge significantly faster for hard problems. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",heuristics; integer programming; medium voltage network; Offshore wind,Article
"Ma, Y.; Xie, K.; Zhao, Y.; Yang, H.; Zhang, D.",Bi-objective Layout Optimization for Multiple Wind Farms Considering Sequential Fluctuation of Wind Power Using Uniform Design,2022,8,10.17775/CSEEJPES.2020.03350,"The fluctuation of wind power brings great challenges to the secure, stable, and cost-efficient operation of the power system. Because of the time-correlation of wind speed and the wake effect of wind turbines, the layout of wind farm has a significant impact on the wind power sequential fluctuation. In order to reduce the fluctuation of wind power and improve the operation security with lower operating cost, a bi-objective layout optimization model for multiple wind farms considering the sequential fluctuation of wind power is proposed in this paper. The goal is to determine the optimal installed capacity of wind farms and the location of wind turbines. The proposed model maximizes the energy production and minimizes the fluctuation of wind power simultaneously. To improve the accuracy of wind speed estimation and hence the power calculation, the time-shifting of wind speed between the wind tower and turbines' locations is also considered. A uniform design based two-stage genetic algorithm is developed for the solution of the proposed model. Case studies demonstrate the effectiveness of this proposed model. © 2015 CSEE.",bi-objective optimization; uniform design; Wind farm layout optimization (WFLO); wind power fluctuation,Article
"Ogunjuyigbe, A.S.O.; Ayodele, T.R.; Bamgboje, O.D.",Optimal placement of wind turbines within a wind farm considering multi-directional wind speed using two-stage genetic algorithm,2021,15,10.1007/s11708-018-0514-x,"Most wind turbines within wind farms are set up to face a pre-determined wind direction. However, wind directions are intermittent in nature, leading to less electricity production capacity. This paper proposes an algorithm to solve the wind farm layout optimization problem considering multi-angular (MA) wind direction with the aim of maximizing the total power generated on wind farms and minimizing the cost of installation. A twostage genetic algorithm (GA) equipped with complementary sampling and uniform crossover is used to evolve a MA layout that will yield optimal output regardless of the wind direction. In the first stage, the optimal wind turbine layouts for 8 different major wind directions were determined while the second stage allows each of the previously determined layouts to compete and inter-breed so as to evolve an optimal MA wind farm layout. The proposed MA wind farm layout is thereafter compared to other layouts whose turbines have focused site specific wind turbine orientation. The results reveal that the proposed wind farm layout improves wind power production capacity with minimum cost of installation compared to the layouts with site specific wind turbine layouts. This paper will find application at the planning stage of wind farm. © 2017, Higher Education Press.",genetic algorithm; optimal placement; wake effect; wind direction; wind turbines,Article
"Mahmoud, R.M.A.; Fayad, H.; Dodds, P.E.",Repurposing of Offshore Oil and Gas Cables for Renewable Generation: Feasibility and Conceptual Qualification,2021,,10.4043/30933-MS,"Wind farms are expected to be deployed in the North Sea in increasing numbers and at ever greater distances from land, over the coming decades. Many nearby oil and gas fields have reached or are near the end of their lifespans, and their operators are eager to explore innovative ways to reduce decommissioning costs. One possibility would be to repurpose some of their infrastructures for use by wind farms, which would both delay decommissioning and reduce the wind farm capital costs. This paper investigates the potential for repurposing existing submarine power cores in decommissioned oil and gas fields as transmission cables for offshore renewables. Offshore power cables generally have longer lifetimes than are needed to deplete hydrocarbon reservoirs. Cable transmission capacity could be too low to provide the main connection to wind farms, but there is scope to increase capacity or use cables as auxiliary connections. A qualification methodology is proposed to assess whether existing cables might be usefully repurposed. Repurposing cables has an impact on renewable project capital expenditure (CAPEX) and levelised cost of energy (LCOE), it also positively affects decommissioning cost and the environment. The qualification methodology provides a cost-effective initial appraisal prior to field testing. © 2021, Offshore Technology Conference. All rights reserved.",Decommissioning; Energy Transition; Offshore Facilities; Repurposing; Submarine Cable,Conference paper
